bootstrap_index,density_crossing_radius_interpolated_mpc_h,density_crossing_radius_discrete_mpc_h,crossing_detected
0,111.4752660679684,111.92819281414471,True
1,120.08886937057058,121.99301547856197,True
2,122.52267489471899,127.3598983968242,True
3,103.64181966739761,107.21159431141558,True
4,119.47212718689136,121.99301547856197,True
5,107.46972445199378,111.92819281414471,True
6,121.93383984173398,121.99301547856197,True
7,119.51035452535186,121.99301547856197,True
8,109.41406771816835,111.92819281414471,True
9,109.53656174726066,111.92819281414471,True
10,114.65412559769429,116.85229034325097,True
11,110.06147357860249,111.92819281414471,True
12,111.86498523874532,111.92819281414471,True
13,112.71492050358995,116.85229034325097,True
14,111.6203976581342,111.92819281414471,True
15,103.40297610857742,107.21159431141558,True
16,117.71711963212333,121.99301547856197,True
17,125.21373352723695,127.3598983968242,True
18,102.93488612062899,107.21159431141558,True
19,120.87593887332618,121.99301547856197,True
20,109.65423529741253,111.92819281414471,True
21,111.98049097956876,116.85229034325097,True
22,112.31359954922934,116.85229034325097,True
23,113.68584813176562,116.85229034325097,True
24,120.2922034462111,121.99301547856197,True
25,120.10370419356671,121.99301547856197,True
26,112.67815156522167,116.85229034325097,True
27,114.30275808091544,116.85229034325097,True
28,99.70927295822065,102.6937509290598,True
29,120.50264079788629,121.99301547856197,True
30,103.52454125815593,107.21159431141558,True
31,113.19793194938747,116.85229034325097,True
32,111.79815263100404,111.92819281414471,True
33,106.93536109288112,107.21159431141558,True
34,107.68606416657488,111.92819281414471,True
35,115.36684173816792,116.85229034325097,True
36,112.39008889015533,116.85229034325097,True
37,107.32912897659118,111.92819281414471,True
38,108.88104395078936,111.92819281414471,True
39,119.03600227134149,121.99301547856197,True
40,108.80777937619091,111.92819281414471,True
41,111.29231185037727,111.92819281414471,True
42,106.67507541914972,107.21159431141558,True
43,112.40684789326565,116.85229034325097,True
44,109.03662062565375,111.92819281414471,True
45,108.37818237064761,111.92819281414471,True
46,118.98198681730494,121.99301547856197,True
47,113.72926860711013,116.85229034325097,True
48,110.85895535169291,111.92819281414471,True
49,111.09299167498308,111.92819281414471,True
50,114.27694293133806,116.85229034325097,True
51,118.27312487783033,121.99301547856197,True
52,109.75344361961152,111.92819281414471,True
53,108.54314128450719,111.92819281414471,True
54,102.29136109218685,102.6937509290598,True
55,118.11258677162239,121.99301547856197,True
56,104.67510343068692,107.21159431141558,True
57,101.11027307066726,102.6937509290598,True
58,98.79214843157783,102.6937509290598,True
59,113.06039879864917,116.85229034325097,True
60,106.65798986423941,107.21159431141558,True
61,125.57805211594729,127.3598983968242,True
62,123.44821369159162,127.3598983968242,True
63,119.63117151730438,121.99301547856197,True
64,111.91119965428581,111.92819281414471,True
65,111.9126062370033,111.92819281414471,True
66,111.51006946458546,111.92819281414471,True
67,119.60318456760022,121.99301547856197,True
68,106.52336279293242,107.21159431141558,True
69,107.11320971909886,107.21159431141558,True
70,105.51173941898094,107.21159431141558,True
71,115.36629281986313,116.85229034325097,True
72,117.35002421088447,121.99301547856197,True
73,109.84409440851738,111.92819281414471,True
74,119.96468290303197,121.99301547856197,True
75,115.87154740651691,116.85229034325097,True
76,113.40753736176855,116.85229034325097,True
77,112.98200283569969,116.85229034325097,True
78,108.65651251825021,111.92819281414471,True
79,101.14114557307133,102.6937509290598,True
80,129.76370310424917,132.96288853930218,True
81,118.7391620491323,121.99301547856197,True
82,119.63030271122601,121.99301547856197,True
83,104.8690113892726,107.21159431141558,True
84,120.85878521838194,121.99301547856197,True
85,110.86850379875023,111.92819281414471,True
86,114.41009696021717,116.85229034325097,True
87,124.25706914663789,127.3598983968242,True
88,125.20586079778191,127.3598983968242,True
89,105.90902295294786,107.21159431141558,True
90,131.12318858928535,132.96288853930218,True
91,118.21275823388645,121.99301547856197,True
92,117.88060482519599,121.99301547856197,True
93,108.92498245814159,111.92819281414471,True
94,116.02659637235357,116.85229034325097,True
95,109.81603467982436,111.92819281414471,True
96,108.55288853979485,111.92819281414471,True
97,107.47637361467328,111.92819281414471,True
98,115.11233996627719,116.85229034325097,True
99,115.96727386885064,116.85229034325097,True
100,107.27699997579522,111.92819281414471,True
101,127.12730404739399,127.3598983968242,True
102,110.31475501425727,111.92819281414471,True
103,120.4971458771151,121.99301547856197,True
104,114.7995682785777,116.85229034325097,True
105,108.16562290185087,111.92819281414471,True
106,112.6510879170634,116.85229034325097,True
107,108.01091599708138,111.92819281414471,True
108,120.87730671320591,121.99301547856197,True
109,116.57218787978857,116.85229034325097,True
110,116.46567827355565,116.85229034325097,True
111,124.44860794537459,127.3598983968242,True
112,109.9854209002883,111.92819281414471,True
113,108.6910425865395,111.92819281414471,True
114,110.30042011803643,111.92819281414471,True
115,111.86126212508054,111.92819281414471,True
116,98.1789105724983,98.36628722493359,True
117,116.70147315097456,116.85229034325097,True
118,124.31049098881277,127.3598983968242,True
119,118.52303861363393,121.99301547856197,True
120,106.12245475272852,107.21159431141558,True
121,115.39956117458658,116.85229034325097,True
122,122.1475325268947,127.3598983968242,True
123,122.52133269195218,127.3598983968242,True
124,102.2787277009139,102.6937509290598,True
125,114.08015336896148,116.85229034325097,True
126,117.23812302010066,121.99301547856197,True
127,118.77410714662288,121.99301547856197,True
128,109.466288135307,111.92819281414471,True
129,119.23241211710537,121.99301547856197,True
130,107.13964557149986,107.21159431141558,True
131,108.0395347443449,111.92819281414471,True
132,118.97647034869729,121.99301547856197,True
133,120.68067904027161,121.99301547856197,True
134,112.62606479937938,116.85229034325097,True
135,119.10108206585497,121.99301547856197,True
136,122.22084140566606,127.3598983968242,True
137,119.50532703599339,121.99301547856197,True
138,107.94789975140728,111.92819281414471,True
139,114.79332307176084,116.85229034325097,True
140,114.69666943827073,116.85229034325097,True
141,117.14129422187618,121.99301547856197,True
142,118.58927354188623,121.99301547856197,True
143,120.57316687000217,121.99301547856197,True
144,111.99260425149984,116.85229034325097,True
145,116.00388710719172,116.85229034325097,True
146,113.39040558948251,116.85229034325097,True
147,120.04590884102478,121.99301547856197,True
148,108.91715346372241,111.92819281414471,True
149,113.24711567894308,116.85229034325097,True
150,110.72816585001125,111.92819281414471,True
151,115.19953795717355,116.85229034325097,True
152,116.93748199763142,121.99301547856197,True
153,117.08718551631426,121.99301547856197,True
154,120.7014276618199,121.99301547856197,True
155,101.3701722159612,102.6937509290598,True
156,111.43301221722984,111.92819281414471,True
157,115.6735615946321,116.85229034325097,True
158,111.48505285253997,111.92819281414471,True
159,126.77312145519691,127.3598983968242,True
160,119.46685536164729,121.99301547856197,True
161,107.76562286093697,111.92819281414471,True
162,117.80273034281895,121.99301547856197,True
163,112.62378847566158,116.85229034325097,True
164,124.97430191891353,127.3598983968242,True
165,121.9586561736293,121.99301547856197,True
166,116.86312173868119,121.99301547856197,True
167,116.83596897848957,116.85229034325097,True
168,106.32817654516207,107.21159431141558,True
169,109.40416059048607,111.92819281414471,True
170,125.58546542061109,127.3598983968242,True
171,117.51763326644591,121.99301547856197,True
172,114.16175250727626,116.85229034325097,True
173,112.75288024176552,116.85229034325097,True
174,121.22332092726272,121.99301547856197,True
175,114.45070895910798,116.85229034325097,True
176,117.34588430673563,121.99301547856197,True
177,106.58803884946683,107.21159431141558,True
178,107.9901671421701,111.92819281414471,True
179,115.90959972910073,116.85229034325097,True
180,119.34515646369863,121.99301547856197,True
181,116.54511106927288,116.85229034325097,True
182,110.33304567542696,111.92819281414471,True
183,120.13666555984341,121.99301547856197,True
184,122.42184537057534,127.3598983968242,True
185,116.33508613240713,116.85229034325097,True
186,117.61983746261494,121.99301547856197,True
187,110.85065745666695,111.92819281414471,True
188,120.3993294768206,121.99301547856197,True
189,117.38507907202232,121.99301547856197,True
190,119.16384324295086,121.99301547856197,True
191,106.94359461540587,107.21159431141558,True
192,123.5315425827084,127.3598983968242,True
193,110.46383727293748,111.92819281414471,True
194,116.34844530918924,116.85229034325097,True
195,122.16275385520807,127.3598983968242,True
196,116.18871584598507,116.85229034325097,True
197,115.78927361212398,116.85229034325097,True
198,105.35727121094509,107.21159431141558,True
199,114.37196016654772,116.85229034325097,True
200,114.94730591467108,116.85229034325097,True
201,97.14123095304522,98.36628722493359,True
202,111.1208494177807,111.92819281414471,True
203,116.81242415970098,116.85229034325097,True
204,120.90823742850502,121.99301547856197,True
205,107.10465620624657,107.21159431141558,True
206,115.45674926890979,116.85229034325097,True
207,120.49899688760293,121.99301547856197,True
208,108.46298053311209,111.92819281414471,True
209,119.08214619926193,121.99301547856197,True
210,102.39733777635475,102.6937509290598,True
211,110.45349073873959,111.92819281414471,True
212,123.18670384668746,127.3598983968242,True
213,120.9100445709107,121.99301547856197,True
214,108.65632476220992,111.92819281414471,True
215,117.09356923195415,121.99301547856197,True
216,117.71209326523064,121.99301547856197,True
217,119.57113960633728,121.99301547856197,True
218,121.32109908982552,121.99301547856197,True
219,115.681113495793,116.85229034325097,True
220,112.02850959733382,116.85229034325097,True
221,111.12259630595132,111.92819281414471,True
222,112.4454536252165,116.85229034325097,True
223,121.67974758372578,121.99301547856197,True
224,108.80455678457788,111.92819281414471,True
225,119.76671188671364,121.99301547856197,True
226,125.62805383280354,127.3598983968242,True
227,119.92797171680917,121.99301547856197,True
228,99.61824299665462,102.6937509290598,True
229,119.16191093276854,121.99301547856197,True
230,120.35128268006936,121.99301547856197,True
231,120.40694261206293,121.99301547856197,True
232,107.37091196886061,111.92819281414471,True
233,115.79956264138923,116.85229034325097,True
234,118.65531716497891,121.99301547856197,True
235,122.60681685173358,127.3598983968242,True
236,118.88745238650533,121.99301547856197,True
237,118.79435742872772,121.99301547856197,True
238,121.89998926715795,121.99301547856197,True
239,118.63409289719593,121.99301547856197,True
240,107.84256341574044,111.92819281414471,True
241,116.49940321815683,116.85229034325097,True
242,120.4137771806153,121.99301547856197,True
243,118.35265715185486,121.99301547856197,True
