n2,k_h_mpc,Nmodes,P_raw,W2_at_Rhom,contribution_raw,contribution_clust,fraction_raw
17,0.0043177061144717,48,49725.275611771904,0.290031319686982,3.2048638461069124e-06,3.075961037357143e-06,0.07300374568527551
14,0.0039182544528463,48,31180.735303259466,0.3608340921746318,2.500238292553138e-06,2.3398675849199684e-06,0.056953046752316785
10,0.003311529421932,24,43901.87256358116,0.4828265205567652,2.3552209306444894e-06,2.2479261482985415e-06,0.05364968938142915
18,0.0044428829381583,36,46105.27296743368,0.269664644612631,2.0721603415885577e-06,1.982272126717681e-06,0.047201838786445044
6,0.0025650996603237,24,26816.676954092127,0.6460627030777585,1.92502831116931e-06,1.781458821596475e-06,0.04385031128117122
5,0.0023416049103469,24,24341.968102292216,0.6948571943620938,1.8793546289789277e-06,1.7249419191206847e-06,0.04280990830642795
26,0.005339680748138,72,37287.64042629738,0.1506110734559455,1.8719771837479857e-06,1.771569801444022e-06,0.04264185713130519
21,0.0047988620459308,48,35675.51785768264,0.21675111760799973,1.7183796370881919e-06,1.6220458070401923e-06,0.03914305132467007
9,0.0031415926535897,30,23043.06638848863,0.519292446134778,1.661956987683937e-06,1.5177090859798317e-06,0.0378577971155088
29,0.0056393313988213,72,39979.20550976192,0.12105820747325882,1.6132703184056038e-06,1.5325648467567645e-06,0.036748761164862684
11,0.0034731613586981,24,25911.990691812098,0.4489213172425971,1.2924938881940226e-06,1.1927335954734453e-06,0.029441779633824
30,0.0057357372095454,48,47422.29477677319,0.11255721806510702,1.1861603498526768e-06,1.136134919601518e-06,0.02701960291629609
13,0.0037757244663796,24,26212.761673615107,0.38808642524050113,1.130312997066056e-06,1.0440715692348333e-06,0.025747453416097223
41,0.0067053360214472,96,44448.41384842623,0.05052933459894982,9.981994558843217e-07,9.532844917963664e-07,0.022738032790092025
24,0.0051301993206474,24,47956.581436422864,0.1742202692229376,9.283342809850359e-07,8.896186656021609e-07,0.021146570654563098
34,0.0061061585454271,48,49161.11959633658,0.0841181663993735,9.189651641298093e-07,8.815793123967543e-07,0.02093315109696615
27,0.0054413980927026,32,40710.20466221249,0.14003481293695322,8.445697621478528e-07,8.030779657220889e-07,0.019238494703671304
2,0.0014809609793861,12,17049.823567908865,0.8644865154192939,8.188523647075158e-07,7.227983074387055e-07,0.018652676886573658
19,0.0045646282995892,24,27993.517289903742,0.25072816491865735,7.798625799684745e-07,7.241452099865508e-07,0.017764526729158934
20,0.0046832098206938,24,27955.85046636174,0.23312144895294792,7.241231519366882e-07,6.723183855026998e-07,0.016494835652073627
45,0.0070248147310407,72,56979.539938444126,0.03776243806403776,7.172287826142874e-07,6.920538239049289e-07,0.01633778848600312
33,0.00601569193615,48,33026.81213595847,0.09047126977103698,6.639950289843682e-07,6.237855757527962e-07,0.015125174285062246
38,0.0064553592484711,72,30191.195805082963,0.0628646126834767,6.326526102458491e-07,5.907428684568647e-07,0.01441122384079369
36,0.0062831853071795,30,57659.14007610396,0.0727190205540561,5.823494711560283e-07,5.621497432243461e-07,0.013265366247577915
25,0.0052359877559829,30,25140.913429454,0.16198611596507936,5.656220719793829e-07,5.206259286557497e-07,0.01288433202768389
42,0.0067866157893128,48,51288.19349017387,0.04698104698431844,5.354606729117052e-07,5.145802075853415e-07,0.012197284086560407
