diffusion_time,window_points,central_ds,bootstrap_ds_median,bootstrap_ds_q025,bootstrap_ds_q16,bootstrap_ds_q84,bootstrap_ds_q975,bootstrap_probability_within_tolerance,local_loglog_r2,local_log_rmse,central_within_tolerance,ci95_contains_3,fit_quality_ok,qualifies,persistent_criterion_met_here
512,7,,,,,,,0.0,,,False,False,False,False,False
640,7,,,,,,,0.0,,,False,False,False,False,False
768,7,,,,,,,0.0,,,False,False,False,False,False
896,7,3.0716831418595265,3.0716553858249656,3.0623843148413403,3.0670257031168964,3.0765100703988812,3.0809052329388225,0.0,0.9999855329972245,0.0020778790782111593,False,False,True,False,False
1024,7,3.0589434238745605,3.058939138872121,3.0482232530709346,3.0535430563265695,3.0645253756533615,3.069674538677625,0.0,0.9999913252004198,0.0015570199033749074,False,False,True,False,False
1280,7,3.049877371100001,3.0498176178452496,3.0375614112859144,3.0436740928827293,3.056163393990553,3.061901409495188,0.0007,0.999994203363632,0.001244155129051726,False,False,True,False,False
1536,7,3.0407354897006815,3.040707705654863,3.0264532516250795,3.033495184355408,3.047982225154471,3.0548151193799806,0.0684,0.9999934731885547,0.001354539493703511,False,False,True,False,False
1792,7,3.0322135311072786,3.032226967253801,3.0157403002259584,3.023858768009228,3.040582835976286,3.048549166684376,0.4,0.9999932379748557,0.0014023327370561202,False,False,True,False,False
2048,7,3.023637576906534,3.023712151963431,3.0042942481446278,3.013784794342454,3.0334076624787225,3.0428051541734673,0.7402,0.999995810870276,0.001069507068518396,True,False,True,False,False
2560,7,3.017569311149213,3.0175463640060984,2.995628020991954,3.006401291892276,3.0286224849807883,3.0392548660646654,0.8681,0.9999973414744825,0.0008336449380196813,True,True,True,True,False
3072,7,3.0121127410280986,3.0120720516208452,2.9870439915698492,2.999525559818316,3.0247538493353883,3.036791034907887,0.9205,0.9999977932563378,0.0007802049923210897,True,True,True,True,False
3584,7,3.0080675592922805,3.007972808606228,2.97953546737772,2.993802306537089,3.0223813888681677,3.035724965173267,0.9329,0.9999985996525891,0.0006330779955772162,True,True,True,True,True
4096,7,3.005234846919629,3.005206587008819,2.972497819895265,2.988891986528602,3.021514869637095,3.036766429534862,0.9189,0.9999997293884992,0.0002701734761488256,True,True,True,True,True
5120,7,3.004827693811445,3.0047728462316154,2.9688657154310034,2.986896854627232,3.02294054655423,3.03979169540383,0.8902,0.9999998562286071,0.00019304506945225846,True,True,True,True,True
6144,7,3.0069308818685165,3.0069570101388665,2.966710877051408,2.986868842133786,3.0272200853963738,3.0458681786362463,0.8368,0.9999990501759292,0.0005109828402747431,True,True,True,True,True
7168,7,3.010475237422878,3.010686578918271,2.9655679017119927,2.9879489216124124,3.0335173060873513,3.054477304481394,0.7615,0.9999981300132459,0.0007321602768348727,True,True,True,True,True
8192,7,3.0148020844143857,3.014871035947359,2.963674504285542,2.9889184264203834,3.041255926731231,3.065435162571615,0.6732,0.9999983531438705,0.0006686180639599554,True,True,True,True,True
10240,7,3.018009058586064,3.0184044315709486,2.9602690765449378,2.9890779448298708,3.0473622452561107,3.0753528769789735,0.6013,0.9999991790746937,0.00046331398379541956,True,True,True,True,True
12288,7,,,,,,,0.0,,,False,False,False,False,False
14336,7,,,,,,,0.0,,,False,False,False,False,False
16384,7,,,,,,,0.0,,,False,False,False,False,False
